YEAR,"Gross_Weight_Of
_Goods_Handled
(in thousand tonnes)","Volume(inTEUs)_of_
containers_handled","Pasangers_embarked_and_disembarkes
(in_thousands)","Pasangers_inward
(in thousands)","Pasangers_outward
(in thousands)","ShortSeaShipping_Weight
_of_Goods_transported
(in thousands tonnes)","DeepSeaShipping_Weight_
of_Goods_transported
(in thousand tonnes)","Marinetime_goods_transport_performed
(inExclusiveEconomicZoneofthecountry
(inMillionTonne-kilometer))",Total_Vessels,"GeneralCargo(NonSpecialised)
vessel","Pasanger_Ship
Vessel","Liquid_Bulk_Tanker
Vessel","Container_Ship
Vessel","Other_Vessels
J-K-L","Gross_tonnage_in_thousands_by_all types_of_
vessels
","Gross_Value_Added 
(in Thousand Euros)
in Marinetime_transport_sector","Turnover(in thousand euros)
in Marinetime_transport_sector"
2010,3034880,53317,396348,198934,197414,1618837,946958,4448441,2134012,1191665,650397,94503,91115,106332,13739816,30004,134200
2011,3094060,63981,384800,192466,192334,1636150,1023042,4525844,2181926,1604546,301284,92285,78854,104957,14077937,27108,136167
2012,3154395,76778,371689,186219,185470,1614816,1034662,4604594,2096398,1536204,296129,90547,70608,102910,13905003,27419,145742
2013,3215906,78314,372732,186250,186028,1610880,1032035,4684714,2016989,1480749,275622,88853,69448,102317,13711175,29049,141348
2014,3287210,82884,365240,182617,182086,1638403,1053376,4746385,2068414,1522402,292222,85499,66440,101851,13679852,28785,139612
2015,3343755,82206,368222,184268,183111,1660535,1063441,4850032,1991274,1430425,314502,82067,72050,92230,14280662,32476,150563
2016,3376704,86539,370467,185274,184105,1702834,1040279,4842221,1989123,1403199,328386,81883,75510,100145,14911085,27088,139315
2017,3476076,89692,389537,194779,193390,1711477,1096029,5059154,2026259,1440847,319711,83334,75640,106727,15447891,31032,155320
2018,3584537,96798,411006,205451,204047,1771398,1137964,5207869,2189422,1583477,340848,83909,75639,105549,16173588,30123,160310
2019,3587258,96573,418488,208739,208265,1800469,1169011,5317875,2278469,1649665,363473,86846,71518,106967,16288379,34244,163249
2020,3325646,94297,230121,115115,114599,1682005,1067160,5036425,1944030,1503487,215768,81079,66720,76976,13250266,29509,147421
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
